user_id,high_score,quiz_id
231,12.00,291
231,4.00,295
231,6.00,299
232,13.00,191
232,10.00,193
232,16.00,196
232,16.00,200
232,9.00,201
232,10.00,203
232,14.00,205
232,9.00,209
232,10.00,210
232,9.66,212
232,9.00,214
232,16.50,216
232,20.50,218
232,10.00,222
232,8.58,224
232,13.00,226
232,10.00,229
232,8.89,232
232,6.92,234
232,0.00,236
232,10.00,238
232,9.52,241
232,47.00,244
232,10.00,247
232,0.00,249
232,8.92,257
232,7.20,259
232,10.00,262
232,0.00,271
232,70.78,274
232,5.00,278
232,7.00,280
232,12.00,285
232,8.00,287
232,13.00,289
232,27.00,290
232,6.00,299
232,14.00,308
232,40.00,319
233,13.00,191
233,10.00,193
233,16.00,196
233,14.00,200
233,9.00,201
233,11.00,203
233,16.00,205
233,10.00,209
233,9.33,210
233,9.66,212
233,8.50,214
233,11.00,218
233,10.00,222
233,7.52,224
233,15.00,226
233,4.62,234
233,0.00,236
233,10.00,238
233,0.00,241
233,34.00,244
233,10.00,247
233,10.00,251
233,8.86,258
233,9.60,259
233,11.00,262
233,8.00,263
233,0.00,271
233,73.70,274
233,5.00,278
233,8.00,280
233,9.00,287
233,6.00,289
233,22.00,290
233,12.00,301
233,21.00,319
235,13.00,191
235,9.00,193
235,16.00,196
235,16.00,200
235,9.00,201
235,11.00,203
235,9.00,205
235,10.00,209
235,10.00,210
235,5.86,212
235,10.00,214
235,18.00,216
235,20.00,218
235,10.00,222
235,8.58,224
235,14.00,226
235,10.00,229
235,2.96,232
235,8.46,234
235,0.00,236
235,8.00,238
235,5.00,241
235,52.00,244
235,10.00,247
235,0.00,249
235,10.00,251
235,8.89,258
235,8.00,259
235,15.00,262
235,10.00,263
235,0.00,271
235,54.45,274
235,5.00,278
235,9.00,280
235,0.00,285
235,8.00,287
235,12.00,289
235,11.00,290
235,6.00,299
235,11.00,301
235,46.00,319
238,13.00,191
238,8.00,193
238,16.00,196
238,16.00,200
238,9.00,201
238,11.00,203
238,16.00,205
238,10.00,209
238,10.00,210
238,10.00,212
238,0.00,216
238,17.00,218
238,8.87,224
238,14.00,226
238,6.67,228
238,10.00,229
238,8.35,235
238,7.00,236
238,3.00,238
238,8.57,241
238,35.00,244
238,9.97,247
238,9.29,258
238,8.00,260
238,6.00,263
238,62.41,274
238,5.00,278
238,10.00,285
238,7.00,287
238,20.00,291
238,10.00,295
238,4.00,299
238,20.00,318
239,13.00,191
239,10.00,193
239,16.00,196
239,15.00,200
239,9.00,201
239,10.00,203
239,10.00,209
239,10.00,210
239,10.00,212
239,9.75,214
239,0.00,216
239,18.50,218
239,10.00,222
239,5.25,224
239,13.00,226
239,4.44,228
239,10.00,229
239,4.23,235
239,10.00,236
239,6.00,238
239,10.00,241
239,45.50,244
239,10.00,247
239,6.00,251
239,6.97,258
239,8.00,260
239,12.00,262
239,10.00,263
239,57.70,274
239,5.00,278
239,9.00,287
239,32.00,291
239,5.00,295
239,7.00,299
239,10.00,301
239,25.00,306
239,2.00,316
239,39.00,318
240,13.00,191
240,10.00,193
240,16.00,196
240,14.00,200
240,9.00,201
240,9.00,203
240,13.00,205
240,6.50,209
240,9.31,212
240,17.00,216
240,20.00,218
240,8.58,224
240,6.67,232
240,6.92,234
240,0.00,236
240,8.00,238
240,9.52,241
240,53.00,244
240,8.93,247
240,9.44,257
240,9.20,259
240,8.00,263
240,76.32,274
240,4.00,278
240,7.00,280
240,0.00,285
240,5.00,287
240,11.00,289
240,34.00,290
240,5.00,299
240,11.00,301
240,7.00,308
240,42.00,319
241,11.00,191
241,10.00,193
241,16.00,196
241,15.00,200
241,9.00,201
241,11.00,203
241,12.00,205
241,10.00,209
241,7.70,210
241,10.00,212
241,9.00,214
241,16.00,216
241,17.00,218
241,9.77,222
241,7.87,224
241,6.00,226
241,7.04,228
241,8.50,229
241,7.69,235
241,3.00,236
241,1.00,238
